dataset,top_n,gene_mode,gene_id,fold,modality,f1
LINCS,20,ranked,r0,5,GE,0.23293360798199444
LINCS,20,ranked,r0,5,Early Fusion,0.2962107951694647
LINCS,20,ranked,r0,5,Late Fusion,0.2972796366804736
LINCS,20,random,rand1,5,CP,0.268721001097659
LINCS,20,random,rand1,5,GE,0.17118700344826254
LINCS,20,random,rand1,5,Early Fusion,0.26804300274909454
LINCS,20,random,rand1,5,Late Fusion,0.27543455847154696
LINCS,20,random,rand2,5,CP,0.268721001097659
LINCS,20,random,rand2,5,GE,0.1113398403749972
LINCS,20,random,rand2,5,Early Fusion,0.2812896934686169
LINCS,20,random,rand2,5,Late Fusion,0.2881653320417721
LINCS,20,random,rand3,5,CP,0.268721001097659
LINCS,20,random,rand3,5,GE,0.1397278591038454
LINCS,20,random,rand3,5,Early Fusion,0.2628951565103595
LINCS,20,random,rand3,5,Late Fusion,0.27894014932102246
LINCS,20,random,rand4,5,CP,0.268721001097659
LINCS,20,random,rand4,5,GE,0.14408312075894644
LINCS,20,random,rand4,5,Early Fusion,0.2777697662288244
