dataset,top_n,gene_mode,modality,acc_mean,acc_std,f1_mean,f1_std,auroc_mean,auroc_std,topk_mean,topk_std
CDRP-bio,75,ranked,Late Fusion,0.253,0.058599393246763984,0.2288236961451247,0.04668200236019813,,,0.48100000000000004,0.10466613587975818
CDRP-bio,75,wilcoxon_union,CP,0.23666666666666666,0.058214163988576595,0.20959410430838998,0.02612486554629146,,,0.44733333333333325,0.07728554557972372
CDRP-bio,75,wilcoxon_union,Early Fusion,0.29366666666666663,0.07165116111333358,0.25987382987382984,0.04563258361231909,,,0.529,0.11293803610830144
CDRP-bio,75,wilcoxon_union,GE,0.30966666666666665,0.07118442401412137,0.266828231292517,0.07819595613877971,,,0.522,0.09953642549338405
CDRP-bio,75,wilcoxon_union,Late Fusion,0.31,0.0682316316348624,0.26615230536659107,0.05778864815162054,,,0.553,0.152863410344733
CDRP-bio,978,random,CP,0.2366666666666667,0.05314201797141385,0.20959410430839,0.02384863028582227,,,0.44733333333333336,0.07055172780518061
CDRP-bio,978,random,Early Fusion,0.2856666666666667,0.06916666666666665,0.2380513076565274,0.06586454841332252,,,0.4746,0.11183474084227699
CDRP-bio,978,random,GE,0.21133333333333332,0.09733723355960472,0.16157098972456116,0.06132239373238877,,,0.38766666666666666,0.0847545475672741
CDRP-bio,978,random,Late Fusion,0.26586666666666664,0.057767333457714794,0.2287585863871578,0.07157245081912085,,,0.48173333333333335,0.07861574387605309
CDRP-bio,978,ranked,CP,0.23666666666666666,0.058214163988576595,0.20959410430838998,0.02612486554629146,,,0.44733333333333325,0.07728554557972372
CDRP-bio,978,ranked,Early Fusion,0.2773333333333333,0.0654323229672376,0.23364271178556892,0.06906697021927796,,,0.47133333333333327,0.11751122877788696
CDRP-bio,978,ranked,GE,0.18033333333333335,0.09717109766912291,0.1386275946275946,0.05020687359065959,,,0.38266666666666665,0.09503361978210075
CDRP-bio,978,ranked,Late Fusion,0.2693333333333333,0.07840953740174442,0.24515628815628815,0.08803337998508069,,,0.48,0.08831760866327845
CDRP-bio,978,wilcoxon_union,CP,0.23666666666666666,0.058214163988576595,0.20959410430838998,0.02612486554629146,,,0.44733333333333325,0.07728554557972372
CDRP-bio,978,wilcoxon_union,Early Fusion,0.31766666666666665,0.04892738383450405,0.2647039072039072,0.06984393105825394,,,0.528,0.1473770674155243
CDRP-bio,978,wilcoxon_union,GE,0.24466666666666667,0.0676428529525149,0.1829705215419501,0.053707733110253925,,,0.43166666666666664,0.11590225767142472
CDRP-bio,978,wilcoxon_union,Late Fusion,0.30966666666666665,0.06532397892215555,0.25490107709750565,0.0764221708010318,,,0.521,0.10795832529267949
